Hiperparámetro,Rango PDP,F-stat (ANOVA),Importancia meta-RF,Rango PDP_norm,F-stat (ANOVA)_norm,Importancia meta-RF_norm,Índice Criticidad
max_depth,0.049277152626621745,88.35213451978092,0.8366819967959378,1.0,1.0,1.0,1.0
min_samples_split,0.009148491949078408,1.1785776701461543,0.07735325022653135,0.18565382659987498,0.01333954948063293,0.09245238994355628,0.09714858867468806
n_estimators,0.0034056938742004217,0.10812902810639215,0.0859647529775309,0.06911304108834633,0.0012238417180762446,0.10274483412662366,0.05769390564434875
