n_estimators,max_depth,max_depth_str,min_samples_split,F1 train,F1 Macro,gap
100,40,None,2,1.0,0.449018852220006,0.550981147779994
100,40,None,5,0.9992492015921108,0.4679106162269741,0.5313385853651367
100,40,None,10,0.9917132590665736,0.4711944479373862,0.5205188111291874
100,40,None,20,0.9806305542709277,0.48996112854952917,0.49066942572139854
200,5,5,2,0.6322577287906413,0.4095776245499638,0.22268010424067752
200,5,5,5,0.6200696871421087,0.41259937284293136,0.2074703142991774
200,5,5,10,0.6026682961562869,0.41369911787830715,0.18896917827797977
200,5,5,20,0.5893479821849371,0.41563431471039475,0.17371366747454237
200,10,10,2,0.7590515875454383,0.43266356110147164,0.3263880264439667
200,10,10,5,0.741936802417436,0.4460905290927215,0.29584627332471447
200,10,10,10,0.7093597987457676,0.43610539278991345,0.27325440595585415
200,10,10,20,0.6941191144521311,0.43591848533025,0.25820062912188113
200,15,15,2,0.8208790518312865,0.4499712543853138,0.3709077974459727
200,15,15,5,0.7992271774881734,0.4512265000125244,0.348000677475649
200,15,15,10,0.7711135097396595,0.4550900426330349,0.31602346710662466
200,15,15,20,0.7404321681576065,0.45288654854931437,0.2875456196082921
200,20,20,2,0.868221493884979,0.4600644485582229,0.4081570453267561
200,20,20,5,0.8493942596083339,0.45809356376277854,0.3913006958455554
200,20,20,10,0.8181345899705674,0.4601595079232694,0.35797508204729805
200,20,20,20,0.7903052670529933,0.4593798889499054,0.3309253781030879
200,30,30,2,0.9483269192137245,0.4608764162705459,0.4874505029431786
200,30,30,5,0.9258169719258111,0.46164725318737065,0.4641697187384405
200,30,30,10,0.8960289862564548,0.47942928712684807,0.4165996991296067
200,30,30,20,0.8570475249389315,0.47800538825385364,0.3790421366850779
200,40,None,2,1.0,0.44358292267767074,0.5564170773223293
200,40,None,5,0.9992918198859633,0.46545203631010257,0.5338397835758607
200,40,None,10,0.9923521234831654,0.4735940414751125,0.5187580820080528
200,40,None,20,0.983383386298326,0.48394673283738004,0.49943665346094596
400,5,5,2,0.6489274217504941,0.4104299877329849,0.23849743401750922
400,5,5,5,0.638277812506566,0.42020232094351084,0.21807549156305517
400,5,5,10,0.6226175789051608,0.4156842607162772,0.2069333181888836
400,5,5,20,0.6025313021843831,0.41814989799966196,0.18438140418472115
400,10,10,2,0.7520149579924809,0.4343560546898448,0.3176589033026361
400,10,10,5,0.7342401716731172,0.4403688270883497,0.2938713445847675
400,10,10,10,0.7031135141298774,0.43875613992610024,0.2643573742037772
400,10,10,20,0.6838235047445163,0.43629705795561036,0.2475264467889059
400,15,15,2,0.8144513788095621,0.45047519744415343,0.36397618136540866
400,15,15,5,0.8004167415000453,0.4507977282889936,0.34961901321105165
400,15,15,10,0.7682656018054499,0.4590281607940828,0.3092374410113671
400,15,15,20,0.7371222018675478,0.4522335862503998,0.28488861561714807
400,20,20,2,0.868470014349254,0.4550312027672994,0.41343881158195456
400,20,20,5,0.8491095979751067,0.4632728927527724,0.38583670522233426
400,20,20,10,0.8194182178546967,0.4637534692315054,0.3556647486231913
400,20,20,20,0.7853897662677477,0.45865513738482194,0.32673462888292576
400,30,30,2,0.9476127269744796,0.46416933951707307,0.48344338745740656
400,30,30,5,0.9282393247714589,0.46756752258075795,0.4606718021907009
400,30,30,10,0.8972106490492582,0.472219323486496,0.4249913255627622
400,30,30,20,0.8569193455747166,0.4720852019321975,0.3848341436425191
400,40,None,2,1.0,0.45387613253386344,0.5461238674661366
400,40,None,5,0.9996136092857074,0.46054813651043025,0.5390654727752772
400,40,None,10,0.9937047474837184,0.48235021887958685,0.5113545286041316
400,40,None,20,0.9817430595021399,0.48433562084296733,0.4974074386591726
800,5,5,2,0.6453809850044829,0.41817785335993085,0.22720313164455208
800,5,5,5,0.6392043694775724,0.4172293679836645,0.22197500149390792
800,5,5,10,0.6250677560376311,0.4158837845970456,0.20918397144058548
800,5,5,20,0.5974766806765842,0.41244792225851135,0.18502875841807287
800,10,10,2,0.7513941492256799,0.43970540223734,0.3116887469883399
800,10,10,5,0.7300426266709872,0.43885841744342546,0.2911842092275617
800,10,10,10,0.6957905635397039,0.4371807971093168,0.25860976643038713
800,10,10,20,0.6763493015872637,0.43294789930477345,0.24340140228249024
800,15,15,2,0.81579495928369,0.455602997117601,0.36019196216608895
800,15,15,5,0.8015007620371712,0.45295184074754424,0.348548921289627
800,15,15,10,0.7702529420978361,0.46083735090547384,0.3094155911923623
800,15,15,20,0.734820453011917,0.4504029536103663,0.2844174994015507
800,20,20,2,0.8734626143438566,0.46505331060480354,0.4084093037390531
800,20,20,5,0.8523213227177613,0.4557184062388102,0.3966029164789511
800,20,20,10,0.8194782268931544,0.4638686088655246,0.3556096180276298
800,20,20,20,0.7873149796790758,0.46213688472827474,0.3251780949508011
800,30,30,2,0.9485843230188519,0.4650987075468128,0.48348561547203905
800,30,30,5,0.9291271155371852,0.47158609693407866,0.45754101860310653
800,30,30,10,0.8958510996237368,0.47130629927995293,0.42454480034378383
800,30,30,20,0.8590264530458753,0.46589911588982624,0.3931273371560491
800,40,None,2,1.0,0.4542757640887947,0.5457242359112053
800,40,None,5,0.9997852664291117,0.4689535611375065,0.5308317052916052
800,40,None,10,0.9943687181513894,0.48186065045286647,0.512508067698523
800,40,None,20,0.9814990278295456,0.48231220635490546,0.4991868214746401
